Age,AgeGroup,Gender,MaritalStatus,Department,JobRole,JobLevel,JobSatisfaction,WorkLifeBalance,MonthlyIncome,YearsAtCompany,OverTime,RemoteWork,StockOptions,Attrition,AttritionBinary
22,Under 25,Female,Single,Sales & Marketing,Marketing Specialist,2,3,3,5860,1,No,Remote,1,No,0
35,35–44,Male,Single,People & HR,Recruiter,3,2,3,4769,2,No,Remote,1,No,0
22,Under 25,Male,Single,Engineering,Data Scientist,2,4,4,12920,1,No,Hybrid,1,Yes,1
50,45+,Male,Single,Engineering,DevOps,3,2,2,9982,2,No,Hybrid,0,Yes,1
33,25–34,Female,Married,Sales & Marketing,Account Manager,1,3,3,13871,1,No,Hybrid,0,Yes,1
31,25–34,Male,Married,Engineering,Data Scientist,4,4,2,8015,5,No,Remote,1,No,0
28,25–34,Male,Married,People & HR,HR Specialist,3,4,3,6501,0,No,On-site,1,Yes,1
33,25–34,Non-binary,Married,Product & Design,UX Designer,1,4,3,2000,7,Yes,On-site,3,No,0
36,35–44,Male,Married,Sales & Marketing,Sales Executive,2,3,4,13323,2,No,Hybrid,1,No,0
33,25–34,Female,Married,Engineering,Data Scientist,2,4,4,9346,0,No,Hybrid,2,No,0
22,Under 25,Female,Single,Engineering,Software Engineer,4,3,4,13725,0,No,Remote,0,Yes,1
23,Under 25,Male,Divorced,Engineering,Software Engineer,2,1,3,5942,3,No,On-site,0,Yes,1
31,25–34,Male,Single,Engineering,Engineering Manager,1,3,2,8733,7,No,Hybrid,0,Yes,1
29,25–34,Female,Married,Engineering,Data Scientist,2,2,3,2336,2,No,Remote,0,No,0
31,25–34,Male,Married,Product & Design,UX Designer,2,2,3,13276,1,No,Hybrid,2,Yes,1
22,Under 25,Male,Single,Engineering,Data Scientist,3,4,2,11199,2,No,Remote,1,No,0
22,Under 25,Female,Single,Sales & Marketing,Sales Executive,3,3,4,17162,3,No,Hybrid,3,No,0
34,25–34,Male,Single,Sales & Marketing,Sales Executive,4,4,3,7458,2,No,Hybrid,0,No,0
37,35–44,Female,Single,Sales & Marketing,Marketing Specialist,3,3,3,12977,0,No,On-site,1,Yes,1
22,Under 25,Female,Married,People & HR,HR Specialist,2,3,3,8669,1,No,Hybrid,1,No,0
37,35–44,Male,Divorced,Product & Design,Product Analyst,1,4,3,11844,0,No,Hybrid,2,No,0
36,35–44,Male,Married,Engineering,Software Engineer,2,3,2,3659,5,No,Hybrid,1,Yes,1
30,25–34,Male,Married,Finance & Legal,Financial Analyst,1,2,2,19234,3,Yes,Remote,1,Yes,1
33,25–34,Male,Single,Engineering,Senior Engineer,3,4,3,4014,0,Yes,Remote,1,No,0
25,25–34,Female,Divorced,Product & Design,Product Manager,2,4,3,15447,2,No,On-site,0,No,0
30,25–34,Male,Married,Engineering,Software Engineer,1,2,3,8543,4,Yes,Hybrid,1,No,0
28,25–34,Male,Married,Product & Design,Product Manager,3,4,3,6910,0,No,Remote,1,Yes,1
22,Under 25,Male,Married,People & HR,HR Specialist,4,3,3,15295,1,No,Hybrid,0,No,0
22,Under 25,Female,Single,Product & Design,Product Analyst,1,2,3,9061,0,No,Hybrid,2,No,0
29,25–34,Male,Single,Product & Design,Product Analyst,2,3,2,5656,3,No,Hybrid,3,No,0
33,25–34,Male,Single,Engineering,Engineering Manager,3,1,1,16940,0,No,On-site,1,No,0
35,35–44,Male,Single,Engineering,Senior Engineer,2,3,3,18865,2,No,Remote,1,No,0
28,25–34,Male,Single,Sales & Marketing,Sales Executive,1,3,2,19336,17,Yes,Remote,2,Yes,1
30,25–34,Female,Single,Sales & Marketing,Account Manager,3,1,2,10759,2,Yes,Remote,1,No,0
22,Under 25,Male,Single,Sales & Marketing,Marketing Specialist,3,3,2,11941,7,No,Hybrid,1,No,0
24,Under 25,Male,Divorced,Finance & Legal,Finance Manager,2,3,3,22847,8,No,Hybrid,0,No,0
22,Under 25,Female,Single,Engineering,Data Scientist,2,3,3,2000,9,No,Remote,0,No,0
43,35–44,Male,Married,Engineering,Engineering Manager,3,1,1,17220,5,No,Remote,2,No,0
22,Under 25,Male,Single,People & HR,Recruiter,2,2,4,17460,2,No,Hybrid,1,No,0
27,25–34,Male,Single,Sales & Marketing,Account Manager,4,3,3,12622,1,No,Remote,1,Yes,1
35,35–44,Female,Divorced,Product & Design,Product Manager,3,3,3,5781,1,Yes,Hybrid,0,No,0
39,35–44,Male,Single,Sales & Marketing,Sales Executive,3,1,3,13245,6,No,Hybrid,3,Yes,1
22,Under 25,Male,Single,Sales & Marketing,Sales Executive,1,2,3,14429,3,Yes,Remote,0,No,0
27,25–34,Female,Married,Product & Design,Product Manager,3,3,3,10940,4,Yes,Hybrid,2,No,0
29,25–34,Male,Single,Sales & Marketing,Sales Executive,3,4,1,14607,3,No,Hybrid,1,No,0
32,25–34,Female,Single,Engineering,DevOps,3,2,3,9861,1,No,On-site,0,No,0
24,Under 25,Male,Single,Sales & Marketing,Marketing Specialist,2,3,3,10300,0,No,Hybrid,0,Yes,1
28,25–34,Male,Single,Product & Design,Product Analyst,3,3,3,3269,0,No,Hybrid,1,No,0
32,25–34,Female,Married,Sales & Marketing,Marketing Specialist,2,1,3,10117,0,No,On-site,1,No,0
22,Under 25,Male,Single,Sales & Marketing,Marketing Specialist,1,3,3,2000,2,No,Remote,1,No,0
43,35–44,Male,Single,Sales & Marketing,Account Manager,3,4,4,12031,3,No,Remote,0,No,0
38,35–44,Male,Married,Sales & Marketing,Account Manager,2,1,4,10410,0,No,Remote,2,No,0
22,Under 25,Female,Single,Engineering,Senior Engineer,2,2,3,10356,3,No,Remote,0,Yes,1
28,25–34,Male,Divorced,Engineering,Engineering Manager,3,4,3,4620,2,No,Hybrid,1,No,0
27,25–34,Male,Divorced,Engineering,Senior Engineer,1,4,3,12763,1,No,Hybrid,0,No,0
42,35–44,Male,Single,Finance & Legal,Financial Analyst,2,3,4,15447,8,No,Hybrid,1,No,0
35,35–44,Male,Single,Sales & Marketing,Marketing Specialist,3,1,3,3535,1,No,Hybrid,1,Yes,1
28,25–34,Female,Married,Engineering,Senior Engineer,4,2,3,7597,3,No,Remote,2,No,0
31,25–34,Male,Single,Sales & Marketing,Sales Executive,2,4,3,7985,4,No,On-site,1,No,0
29,25–34,Male,Single,People & HR,HR Manager,4,4,1,10829,3,No,On-site,0,Yes,1
30,25–34,Female,Married,Finance & Legal,Legal Counsel,3,3,3,5982,2,No,Hybrid,0,No,0
37,35–44,Female,Single,Engineering,Data Scientist,3,1,1,6897,0,No,On-site,0,No,0
36,35–44,Male,Single,Finance & Legal,Financial Analyst,5,4,1,11741,4,No,Hybrid,3,No,0
22,Under 25,Male,Single,Engineering,Senior Engineer,2,4,4,6849,0,No,On-site,0,No,0
36,35–44,Male,Single,Engineering,Data Scientist,2,2,3,14040,1,No,Hybrid,1,No,0
22,Under 25,Female,Divorced,Sales & Marketing,Sales Executive,1,1,3,11825,5,No,Remote,1,No,0
33,25–34,Male,Married,Engineering,Data Scientist,1,3,4,8213,0,Yes,Remote,1,No,0
22,Under 25,Male,Married,People & HR,HR Specialist,3,1,3,11852,1,No,Remote,3,No,0
25,25–34,Female,Married,Engineering,Engineering Manager,2,3,1,9017,2,No,Hybrid,2,Yes,1
39,35–44,Female,Married,Engineering,DevOps,5,2,1,12051,1,No,Hybrid,3,No,0
27,25–34,Female,Single,People & HR,Recruiter,3,1,3,6306,0,Yes,Remote,2,No,0
35,35–44,Male,Married,Finance & Legal,Finance Manager,3,4,1,5122,0,No,On-site,3,No,0
33,25–34,Female,Single,Sales & Marketing,Sales Executive,2,4,3,9960,1,No,Hybrid,1,No,0
24,Under 25,Male,Single,People & HR,Recruiter,3,1,2,2000,0,No,Hybrid,1,Yes,1
22,Under 25,Female,Married,Finance & Legal,Legal Counsel,1,2,3,19513,0,Yes,Remote,3,Yes,1
32,25–34,Male,Married,Product & Design,Product Manager,2,4,1,14951,0,Yes,Hybrid,0,Yes,1
34,25–34,Female,Married,Engineering,DevOps,2,1,2,22714,1,No,Hybrid,1,Yes,1
30,25–34,Male,Married,Sales & Marketing,Account Manager,2,3,1,5293,0,No,Hybrid,3,Yes,1
31,25–34,Non-binary,Single,Sales & Marketing,Account Manager,2,3,1,17898,2,No,Remote,1,Yes,1
26,25–34,Female,Married,Sales & Marketing,Sales Executive,4,1,4,10598,4,Yes,Hybrid,3,No,0
33,25–34,Female,Divorced,Sales & Marketing,Account Manager,2,4,3,4469,0,No,Hybrid,2,No,0
22,Under 25,Male,Single,Sales & Marketing,Sales Executive,3,2,2,5782,6,No,Remote,2,Yes,1
36,35–44,Male,Single,Engineering,Software Engineer,2,3,1,7791,0,No,Remote,0,No,0
36,35–44,Female,Single,Engineering,Data Scientist,2,4,4,10989,1,No,Hybrid,0,No,0
30,25–34,Male,Married,Product & Design,Product Manager,4,2,3,2000,1,Yes,Hybrid,1,Yes,1
28,25–34,Female,Single,Finance & Legal,Financial Analyst,2,4,4,15266,0,No,Hybrid,3,No,0
24,Under 25,Male,Divorced,Sales & Marketing,Sales Executive,3,2,3,13862,3,Yes,Hybrid,1,No,0
25,25–34,Female,Married,Engineering,Engineering Manager,1,4,2,11274,5,No,Remote,3,No,0
27,25–34,Female,Single,Engineering,Senior Engineer,1,4,2,10181,0,No,Hybrid,1,Yes,1
32,25–34,Male,Married,Sales & Marketing,Sales Executive,2,3,2,13217,0,No,Remote,0,Yes,1
32,25–34,Female,Married,Sales & Marketing,Account Manager,2,4,3,19608,1,No,Hybrid,1,No,0
38,35–44,Male,Married,Sales & Marketing,Sales Executive,4,2,2,7040,3,No,Hybrid,1,No,0
22,Under 25,Female,Single,Engineering,DevOps,4,2,1,7069,1,No,Hybrid,1,No,0
25,25–34,Male,Single,Product & Design,UX Designer,1,2,1,11846,1,No,Hybrid,0,No,0
33,25–34,Male,Single,Sales & Marketing,Marketing Specialist,3,3,3,9234,2,No,On-site,0,No,0
22,Under 25,Female,Single,Engineering,Engineering Manager,2,2,1,11326,0,Yes,Hybrid,0,Yes,1
34,25–34,Female,Married,Engineering,Senior Engineer,2,2,2,18975,2,No,Hybrid,1,No,0
33,25–34,Non-binary,Married,Product & Design,Product Analyst,3,3,3,9358,4,No,Remote,1,No,0
22,Under 25,Male,Divorced,Engineering,Software Engineer,4,3,3,3893,1,No,Remote,2,Yes,1
37,35–44,Male,Married,Finance & Legal,Finance Manager,2,3,1,3767,13,No,Hybrid,0,No,0
38,35–44,Female,Single,Engineering,Engineering Manager,5,3,3,12486,6,No,Hybrid,0,Yes,1
35,35–44,Male,Married,Product & Design,Product Manager,2,4,4,6716,3,Yes,Hybrid,0,Yes,1
22,Under 25,Male,Married,People & HR,Recruiter,2,3,3,14814,1,No,On-site,1,No,0
29,25–34,Female,Divorced,Engineering,Engineering Manager,2,2,4,16355,0,No,On-site,1,Yes,1
39,35–44,Female,Divorced,Sales & Marketing,Account Manager,2,1,2,10205,3,No,Remote,1,Yes,1
35,35–44,Male,Married,Engineering,Engineering Manager,1,3,3,3997,3,No,Remote,3,No,0
24,Under 25,Male,Single,Finance & Legal,Legal Counsel,3,4,3,8152,0,No,Hybrid,0,No,0
28,25–34,Female,Divorced,Engineering,Senior Engineer,5,2,3,19758,2,No,On-site,1,No,0
34,25–34,Female,Married,Engineering,Engineering Manager,3,4,3,9769,0,No,Hybrid,1,No,0
48,45+,Female,Married,Sales & Marketing,Account Manager,1,2,4,8331,2,No,Hybrid,1,No,0
33,25–34,Male,Married,People & HR,Recruiter,2,3,3,15953,1,Yes,Remote,2,No,0
26,25–34,Female,Single,Product & Design,Product Analyst,2,2,3,5174,5,No,Remote,1,No,0
23,Under 25,Male,Divorced,Product & Design,Product Manager,2,3,3,9791,2,No,Hybrid,1,Yes,1
37,35–44,Female,Married,People & HR,HR Specialist,2,3,3,5495,0,Yes,Hybrid,1,Yes,1
37,35–44,Male,Married,Product & Design,UX Designer,4,4,3,12331,1,No,Remote,0,Yes,1
26,25–34,Non-binary,Married,Product & Design,UX Designer,1,4,1,10128,0,No,Hybrid,0,No,0
37,35–44,Male,Single,Engineering,Senior Engineer,5,4,4,7927,4,No,Hybrid,0,Yes,1
33,25–34,Non-binary,Divorced,Engineering,Engineering Manager,5,4,3,8890,4,No,Remote,1,No,0
43,35–44,Male,Single,Engineering,Software Engineer,1,2,3,4809,0,No,Hybrid,1,No,0
32,25–34,Female,Married,Sales & Marketing,Marketing Specialist,2,1,2,16983,1,Yes,Hybrid,0,Yes,1
36,35–44,Female,Married,People & HR,HR Specialist,2,3,4,14910,2,No,Hybrid,2,No,0
22,Under 25,Male,Single,Sales & Marketing,Marketing Specialist,2,2,2,8265,0,No,On-site,1,Yes,1
30,25–34,Non-binary,Single,Sales & Marketing,Marketing Specialist,2,3,1,8295,0,No,Remote,2,Yes,1
25,25–34,Female,Married,Finance & Legal,Financial Analyst,4,3,4,2000,0,Yes,Hybrid,2,No,0
30,25–34,Male,Married,People & HR,HR Manager,3,3,3,14525,0,Yes,Remote,2,No,0
32,25–34,Female,Single,Finance & Legal,Legal Counsel,4,4,4,14494,2,No,On-site,1,No,0
32,25–34,Female,Single,Engineering,Engineering Manager,1,2,3,8877,9,Yes,On-site,1,No,0
40,35–44,Male,Single,Product & Design,Product Analyst,1,1,3,7311,1,No,Hybrid,0,Yes,1
29,25–34,Male,Single,Sales & Marketing,Sales Executive,1,4,3,2853,1,No,On-site,1,Yes,1
31,25–34,Male,Single,Product & Design,Product Manager,2,1,3,10013,1,No,Remote,1,No,0
28,25–34,Male,Single,Sales & Marketing,Sales Executive,3,2,2,14152,5,No,On-site,1,Yes,1
27,25–34,Non-binary,Married,Finance & Legal,Finance Manager,2,1,4,13836,0,No,Remote,2,No,0
41,35–44,Male,Married,Engineering,Data Scientist,4,4,2,3230,4,No,On-site,1,Yes,1
26,25–34,Male,Married,Engineering,Software Engineer,3,4,3,2000,6,No,On-site,0,No,0
22,Under 25,Female,Single,Finance & Legal,Legal Counsel,2,3,4,16546,1,No,Hybrid,2,No,0
22,Under 25,Female,Divorced,Product & Design,UX Designer,2,4,4,6836,1,No,Hybrid,0,No,0
39,35–44,Non-binary,Married,Product & Design,Product Manager,3,1,4,13489,5,No,Hybrid,2,Yes,1
43,35–44,Male,Married,People & HR,Recruiter,3,3,3,15227,6,No,Remote,2,No,0
35,35–44,Female,Married,Engineering,Senior Engineer,3,4,3,11462,1,No,Remote,2,No,0
45,45+,Female,Single,Engineering,Software Engineer,2,3,1,8872,2,No,Remote,3,No,0
31,25–34,Male,Married,Engineering,Engineering Manager,4,1,4,12518,1,No,Remote,1,No,0
26,25–34,Male,Divorced,Finance & Legal,Financial Analyst,2,4,2,7575,1,Yes,On-site,3,Yes,1
29,25–34,Male,Married,Engineering,Software Engineer,4,2,2,7374,2,No,Hybrid,0,No,0
33,25–34,Male,Married,Product & Design,UX Designer,2,1,3,15064,2,Yes,Hybrid,0,Yes,1
43,35–44,Female,Married,Finance & Legal,Finance Manager,2,2,2,10702,3,No,On-site,2,Yes,1
42,35–44,Female,Married,Product & Design,Product Manager,2,1,2,12631,3,No,On-site,0,No,0
27,25–34,Male,Single,Engineering,Data Scientist,3,1,3,2899,2,No,Hybrid,0,Yes,1
29,25–34,Male,Divorced,Product & Design,Product Manager,1,2,1,14147,1,No,Remote,3,No,0
30,25–34,Male,Divorced,Engineering,Engineering Manager,3,2,3,14681,0,Yes,Hybrid,3,No,0
30,25–34,Female,Single,Sales & Marketing,Marketing Specialist,5,3,2,7927,2,Yes,Hybrid,2,No,0
31,25–34,Male,Married,Product & Design,Product Analyst,3,3,3,15298,0,No,Remote,1,No,0
25,25–34,Non-binary,Divorced,Engineering,Engineering Manager,4,3,4,11500,3,No,Hybrid,2,No,0
29,25–34,Female,Married,People & HR,HR Specialist,5,3,2,2000,0,No,Hybrid,1,No,0
37,35–44,Male,Single,Finance & Legal,Legal Counsel,4,4,3,8100,2,No,Hybrid,2,No,0
24,Under 25,Male,Divorced,Product & Design,Product Manager,3,2,3,12051,3,No,Hybrid,1,Yes,1
32,25–34,Male,Divorced,Product & Design,Product Manager,3,3,3,16487,2,No,On-site,0,Yes,1
25,25–34,Female,Married,Finance & Legal,Financial Analyst,5,4,3,4619,9,Yes,Remote,1,No,0
22,Under 25,Female,Married,People & HR,Recruiter,4,4,3,18713,4,No,Hybrid,1,No,0
28,25–34,Male,Married,People & HR,HR Specialist,1,3,3,5489,4,No,Hybrid,1,No,0
49,45+,Female,Single,Sales & Marketing,Account Manager,1,2,4,15999,1,No,Hybrid,1,No,0
28,25–34,Female,Married,Product & Design,Product Analyst,4,4,3,12358,3,No,Remote,1,No,0
31,25–34,Male,Single,Finance & Legal,Financial Analyst,2,3,2,5917,6,No,On-site,1,Yes,1
30,25–34,Female,Married,Engineering,Senior Engineer,4,4,3,6892,2,No,Hybrid,0,No,0
35,35–44,Female,Married,Engineering,Engineering Manager,3,3,3,10585,3,No,Hybrid,1,Yes,1
22,Under 25,Female,Married,Engineering,Data Scientist,2,4,3,3961,2,No,Hybrid,2,No,0
35,35–44,Male,Married,Product & Design,Product Manager,3,3,3,13581,1,Yes,On-site,2,No,0
33,25–34,Male,Married,Product & Design,Product Analyst,2,1,3,2000,2,No,Hybrid,3,No,0
30,25–34,Male,Married,Engineering,Senior Engineer,4,3,2,19095,1,No,On-site,1,Yes,1
36,35–44,Female,Married,Engineering,Senior Engineer,5,4,2,4774,6,No,Hybrid,0,No,0
28,25–34,Male,Married,Product & Design,Product Analyst,1,3,1,21180,0,No,Hybrid,3,No,0
25,25–34,Female,Married,Finance & Legal,Financial Analyst,1,1,1,7148,3,No,On-site,0,No,0
25,25–34,Male,Married,Finance & Legal,Legal Counsel,3,1,3,6672,6,No,Hybrid,1,No,0
24,Under 25,Male,Single,Engineering,Engineering Manager,1,3,3,15721,3,No,Hybrid,3,No,0
35,35–44,Female,Single,Product & Design,UX Designer,1,1,4,10661,0,No,Hybrid,2,No,0
40,35–44,Male,Married,People & HR,HR Manager,1,3,4,9879,1,No,Remote,0,Yes,1
23,Under 25,Non-binary,Single,Sales & Marketing,Marketing Specialist,3,1,3,5194,0,Yes,Hybrid,1,No,0
27,25–34,Male,Married,Sales & Marketing,Marketing Specialist,2,2,3,8988,3,No,Hybrid,2,No,0
28,25–34,Male,Married,People & HR,Recruiter,2,4,3,17107,2,No,Remote,1,No,0
48,45+,Male,Married,Engineering,Senior Engineer,3,3,2,8998,0,Yes,Hybrid,1,No,0
34,25–34,Male,Single,Sales & Marketing,Account Manager,3,4,3,16766,2,No,Hybrid,2,No,0
36,35–44,Female,Married,Sales & Marketing,Account Manager,3,3,4,12960,9,No,Remote,2,No,0
25,25–34,Male,Divorced,Engineering,Software Engineer,2,3,3,9958,4,No,Hybrid,1,No,0
36,35–44,Female,Divorced,Sales & Marketing,Sales Executive,2,3,4,2984,2,No,Hybrid,2,Yes,1
25,25–34,Female,Single,Engineering,Software Engineer,3,3,4,8052,2,No,Hybrid,3,No,0
25,25–34,Male,Married,Engineering,Senior Engineer,2,3,4,9601,9,No,Remote,2,No,0
22,Under 25,Male,Single,Engineering,Data Scientist,5,1,3,6276,0,No,Remote,0,No,0
40,35–44,Female,Single,Engineering,Data Scientist,3,2,2,9589,0,No,Hybrid,0,No,0
