Age,AgeGroup,Gender,MaritalStatus,Department,JobRole,JobLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,Education,MonthlyIncome,YearsAtCompany,NumCompaniesWorked,OverTime,DistanceFromHome,TrainingTimesLastYear,Attrition,AttritionBinary
20,Under 25,Male,Married,Human Resources,Manager,2,4,2,4,3,2,10923,0,8,No,5,2,No,0
32,25–34,Male,Married,Research & Development,Research Scientist,1,3,4,2,3,3,4244,40,8,No,9,5,No,0
29,25–34,Male,Married,Research & Development,Healthcare Representative,2,3,3,3,4,3,3235,9,7,Yes,1,0,Yes,1
31,25–34,Female,Married,Research & Development,Healthcare Representative,1,3,4,3,3,1,6812,9,3,No,6,5,Yes,1
35,35–44,Male,Divorced,Research & Development,Research Scientist,2,2,3,3,3,1,9946,4,6,Yes,3,5,Yes,1
32,25–34,Male,Married,Human Resources,Manager,2,3,4,2,3,3,7056,2,0,Yes,6,0,No,0
19,Under 25,Male,Married,Human Resources,Human Resources,1,1,3,3,3,3,1000,0,6,No,13,1,Yes,1
43,35–44,Male,Married,Sales,Manager,1,1,4,3,3,4,3288,2,5,Yes,13,1,No,0
27,25–34,Male,Married,Research & Development,Research Scientist,2,4,4,2,4,4,6204,2,4,No,3,5,No,0
39,35–44,Male,Single,Research & Development,Manager,3,4,2,3,4,1,6197,8,0,Yes,10,1,No,0
55,45+,Female,Single,Sales,Sales Representative,1,3,4,3,3,3,14390,4,7,No,25,5,No,0
28,25–34,Male,Married,Sales,Sales Representative,1,3,4,3,3,1,1000,0,9,No,8,4,No,0
18,Under 25,Male,Married,Research & Development,Research Scientist,2,2,2,4,3,4,8522,0,0,No,1,0,Yes,1
34,25–34,Female,Married,Research & Development,Laboratory Technician,2,4,3,3,3,5,12456,0,0,No,10,5,No,0
46,45+,Female,Single,Sales,Sales Executive,1,4,1,4,3,3,15585,3,2,Yes,1,1,No,0
54,45+,Female,Married,Sales,Sales Representative,2,4,4,3,3,3,4882,16,7,No,18,1,No,0
25,25–34,Female,Married,Research & Development,Research Scientist,2,4,1,3,3,2,8465,6,7,No,6,3,No,0
41,35–44,Male,Married,Sales,Manager,1,2,1,2,3,3,8779,9,6,Yes,4,3,Yes,1
32,25–34,Male,Single,Sales,Sales Representative,2,2,3,3,3,4,7281,3,4,No,1,6,No,0
36,35–44,Female,Married,Research & Development,Healthcare Representative,1,3,3,3,3,2,6104,2,7,Yes,4,1,No,0
60,45+,Female,Divorced,Human Resources,Manager,3,2,4,3,3,2,8243,0,1,No,21,6,Yes,1
23,Under 25,Male,Single,Sales,Sales Executive,5,4,4,3,3,3,1000,12,7,No,1,6,No,0
39,35–44,Male,Single,Research & Development,Research Scientist,3,2,3,3,3,4,9228,9,1,Yes,5,6,Yes,1
41,35–44,Female,Married,Research & Development,Laboratory Technician,2,1,1,3,3,3,7004,1,9,No,24,4,No,0
46,45+,Male,Married,Sales,Sales Executive,3,3,4,2,3,4,5610,4,4,No,4,2,No,0
37,35–44,Male,Married,Research & Development,Laboratory Technician,2,4,3,3,3,1,14687,4,3,No,5,5,No,0
39,35–44,Male,Married,Research & Development,Manager,4,2,3,3,3,3,3800,5,0,No,7,3,Yes,1
33,25–34,Female,Married,Research & Development,Research Scientist,3,3,2,4,3,4,4887,17,4,No,5,5,No,0
39,35–44,Female,Married,Research & Development,Healthcare Representative,3,3,3,2,3,2,14466,5,6,No,1,3,No,0
33,25–34,Male,Single,Research & Development,Laboratory Technician,1,1,2,4,3,3,3171,4,0,No,1,0,Yes,1
42,35–44,Male,Single,Sales,Manager,2,3,4,2,3,2,4299,0,1,Yes,8,0,No,0
33,25–34,Male,Married,Research & Development,Healthcare Representative,2,4,3,2,3,1,5911,0,8,No,22,1,No,0
40,35–44,Male,Single,Research & Development,Healthcare Representative,1,3,4,1,3,2,9862,1,4,No,1,0,Yes,1
36,35–44,Male,Divorced,Sales,Manager,2,4,3,3,3,4,7331,0,6,No,2,0,No,0
47,45+,Male,Divorced,Sales,Sales Representative,2,2,2,3,4,3,1329,8,1,No,4,2,No,0
36,35–44,Male,Divorced,Research & Development,Research Scientist,2,1,4,3,3,4,4371,7,6,No,14,6,Yes,1
21,Under 25,Female,Divorced,Research & Development,Laboratory Technician,4,4,3,4,3,3,4070,0,6,No,2,4,Yes,1
48,45+,Female,Married,Sales,Manager,1,2,2,3,3,3,6191,10,6,No,19,1,No,0
28,25–34,Male,Divorced,Research & Development,Healthcare Representative,1,3,3,3,3,3,8203,1,4,No,1,2,No,0
31,25–34,Male,Single,Sales,Sales Representative,4,4,2,3,3,5,8172,2,8,No,25,1,No,0
31,25–34,Female,Single,Research & Development,Research Scientist,4,2,4,3,3,4,1000,1,1,No,7,4,No,0
49,45+,Male,Divorced,Sales,Manager,2,4,3,3,3,4,10755,2,3,No,9,1,No,0
18,Under 25,Female,Single,Research & Development,Laboratory Technician,1,1,4,4,3,1,7510,1,1,No,4,5,Yes,1
60,45+,Male,Divorced,Research & Development,Research Scientist,2,2,1,4,3,3,12038,4,7,Yes,13,5,Yes,1
46,45+,Female,Married,Human Resources,Human Resources,1,1,3,4,3,3,8276,3,0,No,1,5,No,0
39,35–44,Female,Married,Sales,Sales Executive,4,4,4,4,4,4,10905,25,8,No,1,0,No,0
36,35–44,Female,Single,Research & Development,Manager,3,2,4,2,3,2,8366,0,4,Yes,4,4,No,0
39,35–44,Female,Married,Sales,Sales Representative,1,4,1,3,3,2,11884,0,2,Yes,17,2,Yes,1
41,35–44,Female,Single,Human Resources,Human Resources,4,4,2,3,4,3,8589,0,3,No,12,2,No,0
42,35–44,Male,Divorced,Research & Development,Manager,3,3,2,4,3,2,6108,5,0,No,6,3,No,0
42,35–44,Male,Single,Sales,Sales Executive,4,3,3,3,3,2,15589,0,2,No,7,2,No,0
37,35–44,Male,Married,Research & Development,Research Scientist,5,3,4,3,4,4,10056,10,7,Yes,1,6,No,0
35,35–44,Female,Single,Research & Development,Laboratory Technician,1,2,4,3,3,3,8794,4,1,Yes,16,5,No,0
35,35–44,Female,Single,Research & Development,Healthcare Representative,1,3,3,3,3,4,1394,4,1,No,13,6,No,0
35,35–44,Male,Married,Research & Development,Research Scientist,2,3,4,2,3,4,1346,4,8,No,9,6,No,0
47,45+,Male,Single,Sales,Manager,4,4,3,4,3,2,7670,1,4,Yes,5,5,No,0
42,35–44,Female,Married,Sales,Manager,5,4,1,3,3,3,7082,1,4,No,29,3,Yes,1
18,Under 25,Male,Single,Research & Development,Healthcare Representative,2,4,3,2,3,1,4043,2,0,No,19,0,No,0
42,35–44,Male,Married,Research & Development,Manager,1,4,4,3,4,4,7063,5,5,Yes,9,2,No,0
38,35–44,Female,Married,Research & Development,Healthcare Representative,1,3,4,3,4,3,12854,1,7,Yes,4,4,Yes,1
36,35–44,Male,Single,Research & Development,Manager,3,3,3,3,4,3,9281,0,5,Yes,8,3,No,0
33,25–34,Male,Married,Research & Development,Laboratory Technician,2,4,3,2,3,2,1935,21,6,No,7,2,Yes,1
47,45+,Male,Divorced,Research & Development,Research Scientist,2,3,4,3,4,3,6053,0,3,No,4,0,No,0
45,45+,Male,Single,Research & Development,Laboratory Technician,2,4,3,3,3,2,3280,9,1,No,3,6,No,0
30,25–34,Male,Single,Research & Development,Research Scientist,3,3,2,3,3,3,4949,9,0,No,4,4,No,0
40,35–44,Male,Married,Research & Development,Research Scientist,4,3,4,3,3,4,4845,2,5,No,7,4,No,0
28,25–34,Male,Married,Research & Development,Research Scientist,2,4,4,2,3,4,4589,0,8,No,5,6,No,0
24,Under 25,Male,Married,Sales,Sales Representative,1,4,2,3,3,2,1479,0,9,No,2,0,Yes,1
31,25–34,Male,Married,Sales,Sales Executive,3,2,3,2,3,3,5989,7,4,Yes,12,2,No,0
44,35–44,Male,Divorced,Research & Development,Laboratory Technician,4,4,3,2,3,4,4257,6,1,No,6,6,No,0
45,45+,Female,Single,Research & Development,Healthcare Representative,2,3,1,3,3,1,1000,9,0,No,1,1,No,0
41,35–44,Male,Married,Sales,Manager,2,2,4,4,3,4,14711,16,2,No,4,2,No,0
43,35–44,Female,Married,Sales,Manager,1,4,3,3,4,2,10855,7,3,No,19,6,No,0
41,35–44,Female,Married,Research & Development,Research Scientist,1,3,4,2,3,3,4994,1,6,Yes,12,6,No,0
31,25–34,Male,Divorced,Sales,Sales Representative,1,3,1,3,3,3,6575,1,8,No,3,3,No,0
40,35–44,Female,Married,Sales,Manager,2,2,3,3,3,3,1813,11,7,No,25,3,No,0
44,35–44,Male,Divorced,Research & Development,Laboratory Technician,2,3,1,3,3,4,13282,1,8,No,1,2,No,0
43,35–44,Female,Single,Research & Development,Laboratory Technician,2,3,4,3,4,1,14089,0,6,No,29,5,Yes,1
47,45+,Male,Single,Research & Development,Research Scientist,1,3,3,3,3,3,7126,7,9,No,2,3,No,0
43,35–44,Female,Single,Sales,Manager,1,2,3,3,3,3,10594,3,7,No,1,1,No,0
40,35–44,Male,Married,Research & Development,Research Scientist,2,4,1,2,3,4,7201,15,7,No,5,5,No,0
46,45+,Female,Single,Sales,Sales Executive,2,3,2,3,4,2,1153,6,0,No,4,1,No,0
36,35–44,Male,Single,Research & Development,Manager,2,4,1,3,3,4,4852,0,8,No,6,4,No,0
29,25–34,Female,Married,Research & Development,Manager,3,3,2,3,3,3,7027,17,1,No,14,3,No,0
35,35–44,Male,Married,Research & Development,Healthcare Representative,1,2,3,4,3,2,4681,1,6,No,16,6,Yes,1
30,25–34,Female,Single,Research & Development,Healthcare Representative,2,3,3,3,3,4,5625,2,9,No,4,5,Yes,1
30,25–34,Male,Single,Research & Development,Laboratory Technician,2,3,3,2,4,1,6134,3,9,Yes,5,2,No,0
35,35–44,Male,Divorced,Research & Development,Manager,4,3,3,2,4,3,6176,0,4,Yes,1,5,No,0
29,25–34,Female,Single,Sales,Sales Representative,2,3,2,3,4,1,6709,4,3,No,1,6,No,0
34,25–34,Female,Married,Research & Development,Laboratory Technician,2,3,2,3,4,3,2257,0,0,No,9,4,No,0
19,Under 25,Male,Married,Sales,Sales Representative,2,1,1,3,3,3,3631,3,0,No,1,1,No,0
38,35–44,Female,Married,Sales,Manager,2,3,4,4,3,3,1361,2,2,No,11,4,No,0
37,35–44,Female,Single,Human Resources,Human Resources,3,1,3,4,3,3,10411,8,0,Yes,6,0,No,0
29,25–34,Female,Married,Research & Development,Laboratory Technician,1,1,1,3,3,3,1000,9,7,No,1,3,Yes,1
42,35–44,Male,Married,Research & Development,Healthcare Representative,3,4,1,3,3,2,11114,0,2,No,6,2,No,0
45,45+,Male,Married,Research & Development,Healthcare Representative,2,3,4,3,3,3,12045,2,9,No,1,1,Yes,1
22,Under 25,Female,Single,Research & Development,Research Scientist,5,3,4,2,4,5,5291,2,1,No,5,4,No,0
30,25–34,Male,Single,Research & Development,Research Scientist,2,3,3,3,3,4,1000,0,5,No,14,2,No,0
30,25–34,Male,Divorced,Research & Development,Healthcare Representative,4,4,3,3,4,2,5054,9,3,Yes,5,3,No,0
28,25–34,Male,Married,Research & Development,Manager,2,3,2,3,3,1,6243,7,3,No,1,6,No,0
44,35–44,Male,Married,Sales,Sales Executive,1,4,4,2,3,4,2457,1,1,Yes,11,2,No,0
35,35–44,Female,Married,Research & Development,Healthcare Representative,1,2,4,3,3,3,4439,2,1,No,1,3,No,0
34,25–34,Female,Divorced,Sales,Sales Executive,4,4,2,3,3,3,12620,0,5,No,12,3,No,0
18,Under 25,Male,Married,Sales,Manager,2,4,4,4,3,4,9159,5,4,No,5,3,No,0
42,35–44,Male,Married,Research & Development,Laboratory Technician,2,4,4,3,3,3,2801,0,8,No,5,4,No,0
25,25–34,Male,Divorced,Sales,Sales Executive,1,1,2,3,3,3,1000,25,3,No,17,6,No,0
37,35–44,Male,Married,Human Resources,Human Resources,5,2,3,3,3,5,5191,9,4,No,11,3,No,0
39,35–44,Male,Single,Human Resources,Manager,1,2,1,2,3,3,5646,2,0,Yes,1,2,Yes,1
49,45+,Female,Single,Human Resources,Human Resources,1,2,1,3,3,2,8484,5,1,No,3,6,No,0
25,25–34,Female,Divorced,Research & Development,Research Scientist,4,4,4,4,3,2,4358,14,2,No,18,0,No,0
18,Under 25,Male,Divorced,Sales,Sales Representative,4,1,2,3,3,2,8545,4,4,No,1,2,No,0
38,35–44,Female,Married,Human Resources,Manager,1,1,4,4,3,4,14240,1,4,No,7,4,No,0
53,45+,Male,Married,Research & Development,Research Scientist,4,2,4,2,3,2,9762,2,3,Yes,11,3,No,0
48,45+,Female,Married,Human Resources,Manager,1,2,1,2,3,1,6307,11,9,Yes,8,6,No,0
38,35–44,Male,Married,Human Resources,Human Resources,1,2,3,4,3,5,5767,6,2,No,12,0,No,0
32,25–34,Female,Married,Research & Development,Healthcare Representative,3,4,4,3,3,2,5073,6,8,No,11,4,No,0
44,35–44,Male,Single,Sales,Sales Executive,3,3,4,4,3,1,11222,12,0,No,10,1,No,0
28,25–34,Male,Divorced,Research & Development,Healthcare Representative,2,1,4,3,3,2,3990,13,5,No,15,1,Yes,1
